term	frequency
aforementioned	13
sciml	13
deterministic	13
metamodel	13
source wavelet	13
receiver response	13
icml	13
polarity	13
dot	13
reconstructed seismogram	13
signal amplitude	13
source branch	13
rrmse	13
way propagator	13
leakage detection	13
lapse waveform	13
flop	13
consideration	12
split	12
receiver position	12
percentage	12
satisfactory	12
prospect	12
difference scheme	12
industrial	12
pattern recognition	12
directional	12
drawback	12
address	12
focus	12
direct arrival	12
slow	12
yield	12
insufficient	12
wide range	12
interesting	12
default	12
sand	12
limit	12
theorem	12
proportional	12
computational resource	12
wavefield piece	12
optimisation	12
trial	12
frame	12
modification	12
inverse fourier	12
slope estimation	12
interested	12
guess	12
splitting	12
orange	12
recent year	12
researcher	12
shear modulus	12
min	12
varied	12
little	12
variational	12
tight	12
superior	12
writing	12
valuable	12
random subpanel	12
plain	12
multicomponent	12
fourth row	12
processing unit	12
traditional seismic	12
pure automatic differentiation	12
governing	12
tahmasebi	12
optimum	12
principal	12
environmental	12
second international	12
asymptotic	12
segmentation problem	12
transfer branch	12
confidence map	12
conventional EFWI	12
thin	12
mae	12
pearson	12
deep software	12
subsurface analytic	12
frequency extension	12
dome	12
prominent	12
regression modelling	12
likelihood estimate	12
spike	12
sparse seismic	12
shrinkage regression	12
surrogate regression meta	12
spiky	12
elastic PDE	12
prediction performance	12
seisinvnet	12
diverse	12
goodness	12
underestimation	12
rfftmid	12
rffthigh	12
specific velocity	12
ufdm	12
international meeting	12
hydrogen storage	12
leakage mass	12
multiple reﬂection	12
depth migration	11
prone	11
subsurface velocity	11
seismic migration	11
bayesian inversion	11
moderate	11
substantial	11
finding	11
account	11
multivariate	11
big	11
concatenation	11
ricker	11
geologic	11
remarkable	11
pdf	11
acceptable	11
powerful	11
recovery	11
checkpointing	11
downhole boundary	11
torsional oscillation	11
dry	11
velocity estimation	11
spectra	11
bit source signature	11
drive force	11
particle velocity	11
surface seismic	11
inaccurate	11
pass	11
matlab	11
burden	11
generic	11
url	11
self	11
report	11
mining	11
bulletin	11
straightforward	11
horizontal direction	11
mapping relationship	11
bottom row	11
inverse fourier transform	11
deep convolutional neural	11
analytical solution	11
universal approximator	11
unsupervised	11
seismic inverse	11
seismic inverse problem	11
reparameterization	11
squirt	11
outcome	11
seismic acquisition	11
inversion accuracy	11
supervision	11
genetic	11
product	11
rasht	11
behesht	11
new velocity	11
promising	11
counterpart	11
coverage	11
frontier	11
piml	11
ﬁnite	11
posterior distribution	11
assumption	11
initialization	11
exposition	11
linear unit	11
annual meeting	11
seismic shot	11
tensor processing	11
format	11
smoothed version	11
differentiable programming	11
velocity perturbation	11
dubrule	11
inversion subnet	11
seismic full waveform	11
multiple receiver	11
random source	11
adler	11
observed seismogram	11
galerkin	11
discontinuous galerkin	11
useful information	11
smoothing	11
legend	11
background wavefield	11
red arrow	11
simple PINN	11
survey line	11
geological facie	11
localization	10
spatial dimension	10
plateau	10
numerical dispersion	10
gaussian regression	10
computational physics	10
paradigm	10
conductivity	10
open access	10
direct estimation	10
contact	10
specific energy	10
observer	10
subsurface structure	10
swd	10
balance	10
ωbit	10
invariant	10
increment	10
continuity	10
generalizability	10
computational burden	10
reason	10
anomaly	10
fifth	10
black curve	10
sharp	10
frequency extrapolation	10
vti	10
local plane	10
classic	10
turn	10
regular	10
hand side	10
missing	10
attempt	10
extra	10
smoothness	10
achievable	10
biot	10
dvorkin	10
poroelastic	10
bulk modulus	10
order scheme	10
permeability	10
correspondence	10
personal	10
communication	10
interpretability	10
denoising	10
denser	10
reduced	10
expense	10
nonlinear activation	10
duration	10
intervention	10
red star	10
graphic	10
feasibility	10
order acoustic	10
absorbing boundary	10
blue line	10
geoscience frontier	10
ﬁeld	10
regard	10
lstm	10
semantic segmentation	10
publishing	10
traveltime information	10
sine interface	10
packet decomposition	10
union	10
seismic event	10
parameterization	10
tarantola	10
subsurface area	10
fault structure	10
hpc	10
diﬀerentiable	10
long short	10
dimensionality reduction	10
conventional FWI	10
deep generative	10
common shot	10
impossible	10
comparative	10
activity	10
distinct	10
acoustic pressure	10
speedup	10
fraction	10
multifrequency	10
seismogram generation	10
elastic propagator	10
bed	10
bambi	10
babaei	10
mosegaard	10
storage size	10
maximum likelihood estimate	10
geostatistical	10
sorted	10
template seismic response	10
svm	10
fast likelihood	10
ol	10
andrew	10
bagging	10
scatter diagram	10
smoothing filter	10
strike	10
quartile	10
ntl	10
way migration	10
𝑥min	10
𝑥max	10
element solution	10
spectral element solution	10
industry	9
email	9
excitation	9
portion	9
visual	9
necessity	9
slight	9
receiver arrangement	9
opportunity	9
massive	9
online	9
signal processing	9
intrinsic specific	9
axial dynamic	9
bit velocity	9
soft	9
known	9
fast fourier	9
dominant frequency	9
past	9
comprehensive	9
spurious	9
kinematic	9
order finite	9
creative	9
creative common	9
attribution	9
complex structure	9
spatial sampling interval	9
maximum frequency	9
obvious	9
multiparameter	9
seismological society	9
thank	9
initial guess	9
perfect	9
clean	9
tomographic	9
hazard	9
concern	9
geophysical inversion	9
anisotropy	9
preparation	9
convenient	9
imaginary part	9
schematic diagram	9
proof	9
national natural	9
mukerji	9
seismic velocity building	9
acoustic velocity	9
pasadena	9
learnable	9
fractional	9
gaussian random	9
gno	9
fourier mode	9
royal astronomical	9
evaluated	9
graphic processing	9
graphic processing unit	9
leaf	9
subfigure	9
scattering	9
associate professor	9
gaussian distribution	9
marginal	9
enhancement	9
finite element	9
api	9
initial wavefield	9
base	9
overfitting	9
color channel	9
intriguing	9
local minimum	9
structural similarity	9
resolution velocity	9
front	9
rectified	9
computer science	9
waveﬁeld	9
proportion	9
demanet	9
regional	9
majority	9
elastic FWI	9
feature information	9
wavenet architecture	9
absolute amplitude	9
speculative	9
padding	9
wavefront	9
reader	9
fast computation	9
deep source	9
anti	9
shuffle	9
inaccuracy	9
dark	9
language	9
sponge	9
swinet inversion	9
envelope gof	9
visible	9
resnet	9
underground hydrogen	9
inference accuracy	9
basement	9
integral transform	9
intensive	8
reflector	8
simplified	8
recorded	8
linear transformation	8
consecutive	8
scheduler	8
pointwise	8
stride	8
computational physic	8
compressive	8
square migration	8
axial motion	8
drillstring	8
backstepping	8
hydrocarbon	8
insight	8
interconnection	8
action	8
cutting	8
intrinsic specific energy	8
disturbance	8
downhole boundary condition	8
scope	8
axial force	8
bha	8
coupling	8
fast fourier transform	8
absence	8
minimization	8
carbon	8
petroleum science	8
external	8
imperial	8
imperial college	8
frequency range	8
implication	8
fault detection	8
acoustic vti	8
auxiliary	8
leverage	8
traditional numerical	8
gauss	8
perceptron	8
fft	8
offse	8
minute	8
sun	8
mean square	8
order accuracy	8
instability	8
bridge	8
natural science	8
declaration	8
electromagnetic	8
handbook	8
nissen	8
generation seismic	8
generation seismic velocity	8
scholar	8
elastic modulus	8
modal	8
raw seismic	8
ofthe	8
geologist	8
conceptualization	8
editing	8
intelligent	8
super	8
elastodynamic	8
workshop	8
shaped neural	8
shaped neural operator	8
linear operator	8
hundred	8
implicit	8
cholesky	8
displacement wavefield	8
generalization ability	8
rtx	8
notice	8
astronomical society	8
royal astronomical society	8
fast seismic	8
dob	8
list	8
consequence	8
syst	8
conjugate	8
brief	8
open source	8
swave	8
sake	8
transmission angle	8
nadam	8
strided	8
nvidia tesla	8
color bar	8
probability spectrum	8
confident	8
dropout probability	8
uniform distribution	8
iou score	8
preliminary	8
brossi	8
streamer	8
manufacturing	8
campus	8
cimatec	8
salvador	8
central shot	8
associated	8
pysit	8
translation	8
gpus	8
parallelism	8
spherical	8
assistant	8
performance computing	8
processor	8
geophysical inverse	8
intrinsic feature	8
north	8
common shot gather	8
interference	8
second column	8
vertical velocity	8
accurate prediction	8
late	8
hypothesis	8
entry	8
graf	8
conventional numerical	8
sequestration	8
arbitrary velocity	8
rectangle	8
tangent	8
accurate seismogram	8
propagation modelling	8
explosive microseismic	8
cosmonet	8
ensemble regression	8
various receiver	8
event position	8
nn	8
negative pressure	8
reconstructed accuracy	8
single microseismic	8
pearson correlation	8
pearson correlation coefficient	8
screening	8
initial screening	8
miso regression	8
miso regression problem	8
support machine	8
bisquare	8
cauchy	8
logistic	8
length scale	8
squared	8
triangular part	8
lunch	8
smoothed seismogram	8
diagonal covariance	8
likely event	8
neighbouring	8
bulk likelihood	8
receiver combination	8
response surface	8
microseismicity	8
geometrical	8
upsampling	8
dry rock	8
rodger	8
fourier coefficient	8
annual international	8
leakage location	8
multifrequency wavefield	8
sinkhole	8
dseis	8
discriminator	8
computational complexity	7
considerable	7
semi	7
remainder	7
explanation	7
cutoff	7
lack	7
proper	7
ultrasonic	7
priori	7
son	7
python	7
vinyal	7
document	7
severe	7
intrinsic energy	7
related	7
roller	7
cone	7
unified	7
transport	7
recursive	7
aware	7
secondary	7
modeled	7
young	7
angular velocity	7
radius	7
strain	7
scratch	7
course	7
experience	7
connected	7
weighted	7
tanh	7
quality factor	7
precise	7
thesis	7
illumination	7
blind	7
source coordinate	7
fluid flow	7
surrogate modelling	7
question	7
shallow part	7
seismic fault	7
seismic interpolation	7
computed	7
destruction	7
exploration seismology	7
advantageous	7
acquisition geometry	7
euclidean	7
multiplication	7
freedom	7
rough	7
behaviour	7
rao	7
land	7
geoscientist	7
carcione	7
formal	7
well log	7
eq	7
vanishing	7
momentum	7
solid line	7
mean absolute	7
science foundation	7
diffusion	7
citation	7
advancement	7
multiple source	7
trap	7
division	7
detector	7
correctness	7
deep region	7
seismic profile	7
vsp	7
tion	7
scientist	7
universal approximation	7
lamé	7
well performance	7
differentiability	7
overhead	7
parallel computing	7
laplacian operator	7
seismic station	7
hard constraint	7
deeponet	7
monthly	7
monthly notice	7
fischer	7
medical computing	7
full wavefield	7
seismic inversion problem	7
identifi	7
start	7
multiple shot	7
prior distribution	7
summation	7
ﬁrst	7
samui	7
iop	7
iop publishing	7
consumption	7
pml	7
seismic modelling	7
phasenet	7
reflected	7
yellow	7
western	7
seismic arrival	7
similarity index	7
inadequate	7
conventional seismic	7
none	7
relu activation	7
association	7
software platform	7
global optimization	7
multiple gpu	7
identity	7
impedance inversion	7
langevin	7
symmetric	7
crustal	7
geophysical inverse problem	7
ultra	7
huge	7
attention mechanism	7
northeast	7
laplace	7
utilization	7
second line	7
frequency feature	7
abstr	7
research direction	7
seismic amplitude	7
surface velocity	7
triangle	7
amplitude difference	7
ghz	7
adjoint tomography	7
seismicity	7
seismological research	7
lot	7
hypercube	7
random location	7
latin	7
shot seismic	7
snr level	7
shade	7
systematic	7
geotechnical	7
deep inversion	7
FWI iteration	7
empirical formula	7
quartz	7
feldspar	7
carbonate	7
ibvp	7
overthrust geology	7
warning	7
epicenter	7
rake	7
exploration science	7
screen	7
underground hydrogen storage	7
renewable	7
permanent	7
𝑧min	7
fourier basis	7
applied geoscience	7
traveltime inversion	7
velocitygan	7
deconv	7
geological feature	6
seismic interpretation	6
uncertain	6
cheap	6
nonlinear mapping	6
overlapping	6
surrogate prediction	6
generality	6
pdfs	6
feature extraction	6
goodfellow	6
fuzzy	6
dynamical	6
specific intrinsic	6
hook	6
load	6
equipment	6
frictional	6
static	6
linear coulomb	6
drag	6
drag bit	6
cone bit	6
novelty	6
manual	6
drill bit	6
superscript	6
combined	6
linear regression	6
estimated	6
sigmoid	6
drive velocity	6
stand	6
formation velocity	6
proposed	6
man	6
elsevi	6
avo	6
south	6
frequency information	6
common attribution	6
creative common attribution	6
highfrequency	6
wavefield prediction	6
frequencydomain	6
coarse	6
realistic seismic	6
hardware	6
top row	6
plotting	6
plotting configuration	6
spite	6
centre	6
versatile	6
matteo	6
difference approximation	6
neuron splitting	6
twt	6
subsampling	6
unable	6
physicsinformed	6
ravasi	6
key laboratory	6
dissipation	6
detailed description	6
sgd	6
sampling range	6
period	6
gross	6
tight sandstone	6
embedding	6
uniqueness	6
nath	6
sized	6
thetime	6
waveequation	6
enable	6
andand	6
guidance	6
draft	6
complex velocity	6
velocity variation	6
usa	6
approximation theorem	6
velocity wavefield	6
complete wavefield	6
graph neural	6
angular frequency	6
divergence	6
linear integral	6
trained	6
message	6
surface wavefield	6
neal	6
mixed	6
algorithmic	6
memory optimization	6
fund	6
digital object	6
object identifi	6
digital object identifi	6
well inversion	6
cros	6
wavefield snapshot	6
cuda	6
recent advance	6
empirical relation	6
stationary	6
digit	6
magnetic	6
morphology	6
fracture	6
absorption	6
separation	6
symposium	6
seismic interface	6
pocket detection	6
source api	6
open source api	6
kera	6
various geophysical	6
prefactor	6
inverse tomography	6
dimensional feature	6
cartoon	6
flat interface	6
pin	6
initial packet	6
initial packet decomposition	6
height	6
bin	6
geodnn	6
decoder branch	6
filter channel	6
intersection	6
drop	6
δij	6
confidence correspond	6
additive white	6
maximum displacement	6
average iou	6
planetary	6
source mechanism	6
planet	6
propagate	6
eage overthrust	6
vertical profile	6
homogeneous background	6
smooth initial	6
multiparameter full	6
marine seismic	6
campos	6
underlying	6
maximum amplitude	6
undulation	6
proposal	6
pooling	6
prelu	6
topic	6
diﬀerent	6
execution	6
propagation solution	6
multiple regression	6
